"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 12 13:59:29 IST 2020","Mon Oct 12 13:59:40 IST 2020","10832","","Handle Application Login","","Handle Application Login","Enter Username","Enter Username",""
"passed","Mon Oct 12 13:59:48 IST 2020","Mon Oct 12 13:59:54 IST 2020","5704","","Handle Application Login","","Handle Application Login","should clear password","should clear password",""
"passed","Mon Oct 12 14:10:38 IST 2020","Mon Oct 12 14:10:53 IST 2020","15373","","wait for delete button using waituntil","","wait for delete button using waituntil","new functinality","new functinality",""
"passed","Mon Oct 12 13:59:47 IST 2020","Mon Oct 12 13:59:48 IST 2020","1092","","Handle Application Login","","Handle Application Login","should clear Username","should clear Username",""
"passed","Mon Oct 12 13:59:46 IST 2020","Mon Oct 12 13:59:47 IST 2020","1239","","Handle Application Login","","Handle Application Login","click Login Button","click Login Button",""
"skipped","Thu Oct 08 18:45:35 IST 2020","Thu Oct 08 18:45:35 IST 2020","0","","Handle alert pop up","","Handle alert pop up","enter text on alert and accept ","enter text on alert and accept ",""
"passed","Thu Oct 08 18:45:35 IST 2020","Thu Oct 08 18:45:49 IST 2020","13926","","Handle alert pop up","","Handle alert pop up","alert accept message on rediffmail login page","alert accept message on rediffmail login page",""
"skipped","Thu Oct 08 18:45:35 IST 2020","Thu Oct 08 18:45:35 IST 2020","0","","Handle alert pop up","","Handle alert pop up","accept alert","accept alert",""
"skipped","Thu Oct 08 18:45:35 IST 2020","Thu Oct 08 18:45:35 IST 2020","0","","Handle alert pop up","","Handle alert pop up","dismiss alert","dismiss alert",""
"passed","Mon Oct 12 13:59:40 IST 2020","Mon Oct 12 13:59:46 IST 2020","5542","","Handle Application Login","","Handle Application Login","Enter Password","Enter Password",""
